id,comment
20001,"واعر بزاف! التيزر بوحدو حماسي 🤩🤩 كيبان فيلم ديال بصح."
20002,"ما فهمت والو من هاد اللقطات المقطعة 🤷‍♂️ واش هادي قصة ولا كليب؟"
20003,"التمثيل كيبان مزيان، خاصة البطلة. عينها كتوصل الميساج ✨"
20004,"الإضاءة والزوايا ديال التصوير رديئة. خاص يخدمو على الكاليتي 📉"
20005,"نتمنى يكون قد التوقعات، حيت التيزر كيعطي أمل كبير. 🙏"
20006,"الصوت ديال الموسيقى كان مجهد بزاف على الحوار، ما سمعتش آش قالو. 🎧❌"
20007,"صافي، كنحجز بلاصتي فالقاعة من دابا. أحسن حاجة شفتها هاد العام! 💯"
20008,"ماعنديش شي رأي محدد الصراحة، لقطات عادية. نشوفو الفيلم عاد نحكمو."
20009,"القصة كتبان مكررة، بحال شي أفلام قدام شفناهم. 😔"
20010,"الألوان المستعملة زوينة بزاف ومريحة للعين. هادشي جديد فالسنيما المغربية 🎨"
20011,"كنت متوقع كثر من هاد الشي، ولكن ماشي مشكل. كاين ما يتشاف يمكن."
20012,"واش هاد الفيلم غايدوز فجميع المدن ولا غير فالرباط والدار البيضاء؟ 🤔"
20013,"الفكرة ديال التيزر مبتكرة ومختلفة. برافو للمخرج! 👏"
20014,"كنظن بلي هاد الفيلم غادي يدير ضجة. كيبان شي حاجة عالمية! 🌍"
20015,"شحال هادي ما تفرجت فشي فيلم مغربي، هاد التيزر رجع فيا الحماس. 💪"
20016,"**Dakchi ma fihch lma3na.** L'khrif dyal l'cinema f maghrib! 🤦‍♂️"
20017,"**L'moustawa hwa hwa**, ma kayench chi jadid yestahel nchoufou. Bghina qwalib jdad."
20018,"Had **l7alqa d'doura** kibane ghir **tdayi3 d'lwaqt**. Ma nsawefch nchoufou f sala."
20019,"**Ta9lid bla ma3na**. Ma 3arfouch 3lach kaydirou l'film. Kanfdel netfarrej f chi haja qdima. 🚮"
20020,"**L'dialogue basel** w kiban 3iyan. L'moumtilin makay9edrouch ywaslou l'i7sas. 🥶"
20021,"Ce teaser est **incroyable** ! L'ambiance et la musique sont prenantes. J'ai hâte ! 😍"
20022,"Le montage est chaotique. On ne comprend rien à la chronologie de l'histoire. 👎"
20023,"Très belle **photographie** et les acteurs dégagent une émotion forte. Bravo. 🎬"
20024,"Je trouve que ça manque d'originalité. C'est un peu vu et revu comme scénario. 🥱"
20025,"C'est **prometteur**. J'attends la sortie pour me faire une idée complète."
20026,"Qui est le réalisateur de ce film ? Quelqu'un sait ? 🧐"
20027,"L'acteur principal est **magnifique** dans ce rôle, il a un charisme fou. ❤️‍🔥"
20028,"Je suis un peu déçu par la qualité visuelle, on dirait un vieux film tourné avec de faibles moyens. 🧐"
20029,"Le teaser est court, mais **efficace**. On veut en voir plus ! ✨"
20030,"Je ne suis pas fan des films dramatiques. J'espérais une comédie. 😔"
